State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,AK,2015,January,Number of Deaths,4034,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,February,Number of Deaths,4084,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,March,Number of Deaths,4101,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,April,Number of Deaths,4133,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,May,Number of Deaths,4196,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,June,Number of Deaths,4201,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,July,Number of Deaths,4220,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,August,Number of Deaths,4222,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,September,Number of Deaths,4242,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,October,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,November,Number of Deaths,4219,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2015,December,Number of Deaths,4193,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,January,Number of Deaths,4213,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,February,Number of Deaths,4198,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,March,Number of Deaths,4230,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,April,Number of Deaths,4262,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,May,Number of Deaths,4241,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,June,Number of Deaths,4261,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
AK,AK,2016,July,Number of Deaths,4269,,100,0,Numbers may differ from published reports using final data. See Technical Notes.
